0 0 10 0 0 0 0 1 0
0 0 -0.02 0 0 0 0.05 -0.05 0 100
0 0 -0.02 0 0 0 0 0 0 80
0 0 0 0 0.5 0 0 0 0 60
0 0 -0.002 0 0 0 0 0 0 300
0 0 -0.002 0 0 0 0 0 0 30
0 0 0 0 0 0 -0.04 0.04 0 100
0 0 0 -0.008 0.594 0 0 0 0 200
0 0.008 0 0 0 0 0 0 0 200
0 0.008 0 0 0 0 0 0 0 150
0 0 -0.008 0 0 0 0 0 0 150
0 0.008 -0.008 0 0 0 0 -0.005 0.005 204
0 -0.008 0.008 0 0 0 0 0.005 -0.005 200
0 0 0 -0.016 -1.4632 0.030 0 0 0 100 
0 -0.002 0 0 0 -0.008 0 0 0 1740
0 0 -0.008 0.3200000 -0.02480000 0.10810800 0 0 0 120
0.00355 0 0.002 0 0 0 0 0 0 400
0.004 0 0 0 0 0 0 0 0 500
0 0 0.002 0 0 0 0 0 0 500
0 0 0.002 0 0 0 0 0 0 200
0 -0.002 0 0 0 0 0 0 0 2000
0 0 0 -0.352 0.0049 -0.002 0 0 0 100
